date,análisis_sentimiento
1998,0
1998,0
1998,0
1998,2
1998,0
1998,0
1998,0
1998,1
1998,2
1998,2
1998,2
1998,2
1998,1
1998,2
1998,2
1998,2
1998,0
1998,2
1998,0
1998,2
1998,2
1998,0
1998,2
1998,1
1998,0
1998,2
1998,2
1998,2
1998,1
1998,2
1998,2
1998,2
1998,2
1998,0
1998,2
1998,0
1998,2
1998,2
1998,1
1998,0
1998,2
1998,2
1998,2
1998,2
1998,1
1998,2
1998,1
1998,2
1998,0
1998,2
1998,2
1998,2
1998,2
1998,1
1998,0
1998,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,1
2006,1
2006,0
2006,0
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,0
2006,1
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,1
2006,1
2006,0
2006,0
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,0
2006,1
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,1
2006,1
2006,0
2006,0
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,0
2006,1
2005,0
2006,2
2006,0
2006,0
2006,2
2006,0
2006,1
2006,1
2006,2
2006,2
2006,0
2006,0
2006,2
2006,0
2006,1
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,2
2006,0
2006,0
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,1
2006,2
2006,2
2006,1
2006,1
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,1
2006,0
2006,2
2006,1
2006,0
2006,1
2006,0
2006,2
2006,1
2006,0
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,0
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,0
2006,2
2006,2
2006,1
2006,0
2006,2
2006,2
2006,0
2006,2
2006,2
2006,1
2006,0
2006,2
2006,2
2006,2
2006,1
2006,1
2006,2
2006,2
2006,0
2006,2
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,0
2006,0
2006,1
2006,0
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,1
2006,2
2006,0
2006,0
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,0
2006,1
2006,2
2006,2
2006,0
2006,2
2006,1
2006,0
2006,0
2006,2
2006,0
2006,1
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,0
2006,0
2006,1
2006,0
2006,0
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,0
2006,0
2006,2
2006,1
2006,0
2006,1
2006,1
2006,2
2006,2
2006,2
2006,2
2006,1
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,1
2006,1
2006,1
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,1
2006,0
2006,1
2006,2
2006,0
2006,0
2006,2
2006,2
2006,1
2006,2
2006,2
2006,2
2006,1
2006,2
2006,2
2006,2
2006,0
2006,1
2006,1
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,2
2006,1
2006,0
2006,0
2006,0
2006,1
2006,1
2006,1
2006,2
2006,1
2006,2
2006,2
2006,2
2006,1
2006,2
2006,1
2006,1
2006,2
2006,0
2006,2
2006,2
2006,1
2006,0
2006,0
2006,1
2006,0
2006,2
2006,2
2006,0
2006,1
2006,2
2006,0
2006,2
2006,1
2006,2
2006,2
2006,0
2006,1
2006,1
2006,0
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,0
2006,2
2006,1
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,1
2006,1
2006,2
2006,2
2006,2
2006,1
2006,1
2006,0
2006,0
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,1
2006,1
2006,0
2006,1
2006,1
2006,0
2006,2
2006,0
2006,0
2006,0
2006,0
2006,1
2006,1
2006,2
2006,2
2006,1
2006,2
2006,2
2006,0
2006,0
2006,0
2006,1
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,1
2006,2
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,0
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,0
2006,1
2006,2
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,1
2006,0
2006,0
2006,1
2006,1
2006,2
2006,2
2006,2
2006,0
2006,2
2006,1
2006,1
2006,0
2006,2
2006,0
2006,2
2006,0
2006,2
2006,1
2006,2
2006,2
2006,2
2006,0
2006,1
2006,1
2006,1
2006,2
2006,0
2006,2
2006,1
2006,1
2006,2
2006,0
2006,2
2006,2
2006,2
2006,2
2006,2
2006,0
2006,2
2006,2
2006,2
2006,1
2006,1
2006,0
2006,0
2006,2
2006,2
2006,0
2006,1
2006,1
2006,1
2006,0
2006,2
2006,1
